Transparent|透明
Entrance A|入口A
Ladder A|はしごA
Ladder B|はしごB
Ladder C|はしごC
Ladder D|はしごD
Ladder E|はしごE
Ladder F|はしごF
Entrance B|入口B
Gradation A|グラデーションA
Stairs A (Up)|階段A（上り）
Stairs B (Up)|階段B（上り）
Stairs C (Up)|階段C（上り）
Stairs D (Up)|階段D（上り）
Stairs E (Up)|階段E（上り）
Stairs F (Up)|階段F（上り）
Gradation B|グラデーションB
Vines|ツタ
Stairs A (Down)|階段A（下り）
Stairs B (Down)|階段B（下り）
Stairs C (Down)|階段C（下り）
Stairs D (Down)|階段D（下り）
Stairs E (Down)|階段E（下り）
Stairs F (Down)|階段F（下り）
Shop Sign (Inn)|看板（宿）
Shop Sign (Pub)|看板（酒場）
Shop Sign (Sword)|看板（剣）
Shop Sign (Armor)|看板（鎧）
Shop Sign (Crystal Jade)|看板（水晶玉）
Shop Sign (Bottle)|看板（ビン）
Shop Sign (Sack)|看板（袋）
Shop Sign (Eatery)|看板（食堂）
Boundary Line A (Upper Left)|境界線A(左上)
Boundary Line A (Center)|境界線A(真ん中)
Boundary Line A (Upper Right)|境界線A(右上)
Boundary Line B (Upper Left)|境界線B(左上)
Boundary Line B (Center)|境界線B(真ん中)
Boundary Line B (Upper Right)|境界線B(右上)
Sign A|立て札A
Sign B|立て札B
Boundary Line A (Left)|境界線A(左)
Boundary Line A (Gathering)|境界線A(集合)
Boundary Line A (Right)|境界線A(右)
Boundary Line B (Left)|境界線B(左)
Boundary Line B (Gathering)|境界線B(集合)
Boundary Line B (Right)|境界線B(右)
Post A|ポストA
Post B|ポストB
Window A|窓A
Window B|窓B
Window C|窓C
Window D|窓D
Window E|窓E
Window F|窓F
Crate A|木箱A
Crate B|木箱B
Window G|窓G
Window H|窓H
Window I|窓I
Window J|窓J
Window K|窓K
Window L|窓L
Barrel A|樽A
Barrel B|樽B
Stained Glass Window A|ステンドグラスA
Stained Glass Window B|ステンドグラスB
Stained Glass Window C|ステンドグラスC
Stained Glass Window D|ステンドグラスD
Stained Glass Window E|ステンドグラスE
Stained Glass Window F|ステンドグラスF
Beer Barrel A|ビール樽A
Beer Barrel B|ビール樽B
Stained Glass Window A|ステンドグラスA
Stained Glass Window B|ステンドグラスB
Stained Glass Window C|ステンドグラスC
Stained Glass Window D|ステンドグラスD
Stained Glass Window E|ステンドグラスE
Stained Glass Window F|ステンドグラスF
Pot A|壺A
Pot B|壺B
Stone Pillar A|石の柱A
Stone Pillar B|石の柱B
Stone Pillar C|石の柱C
Stone Pillar D|石の柱D
